step,wall_time,value
239,1784108806.3665786,0.0
240,1784108806.4707582,0.0
241,1784108806.5782843,0.0
242,1784108806.6846166,0.0
243,1784108806.7902365,0.0
244,1784108806.8970103,0.0
245,1784108807.001966,0.0
246,1784108807.1110997,0.0
247,1784108807.2152717,0.0
248,1784108807.3198357,0.0
249,1784108807.424393,0.0
250,1784108807.5317476,0.0
251,1784108807.6377082,0.0
252,1784108807.7431145,0.0
253,1784108807.8490372,0.0
254,1784108807.9573426,0.0
255,1784108808.0615199,0.0
256,1784108808.1669025,0.0
257,1784108808.2738972,0.0
258,1784108808.3831003,0.0
259,1784108808.4880235,0.0
260,1784108808.59323,0.0
261,1784108808.699194,0.0
262,1784108808.8054423,0.0
263,1784108808.9108753,0.0
264,1784108809.0147967,0.0
265,1784108809.1203618,0.0
266,1784108809.2306316,0.0
267,1784108809.3361063,0.0
268,1784108809.4410677,0.0
269,1784108809.5479608,0.0
270,1784108809.6540298,0.0
271,1784108809.7570953,0.0
272,1784108809.8603177,0.0
273,1784108809.9662142,0.0
274,1784108810.0724099,0.0
275,1784108810.1794426,0.0
276,1784108810.2846038,0.0
277,1784108810.3874788,0.0
278,1784108810.49305,0.0
279,1784108810.597068,0.0
280,1784108810.7004461,0.0
281,1784108810.8054564,0.0
282,1784108810.9124615,0.0
283,1784108811.0188196,0.0
284,1784108811.1228018,0.0
285,1784108811.2288306,0.0
286,1784108811.3358722,0.0
287,1784108811.439935,0.0
288,1784108811.5434844,0.0
289,1784108811.648624,0.0
290,1784108811.7558692,0.0
291,1784108811.8616836,0.0
292,1784108811.9684308,0.0
293,1784108812.0759094,0.0
294,1784108812.1816578,0.0
295,1784108812.2854824,0.0
296,1784108812.391591,0.0
297,1784108812.499911,0.0
298,1784108812.607197,0.0
299,1784108812.7149334,0.0
300,1784108812.8224692,0.0
301,1784108812.9265566,0.0
302,1784108813.0320888,0.0
303,1784108813.1389594,0.0
304,1784108813.2456288,0.0
305,1784108813.3602567,0.0
306,1784108813.4649177,0.0
307,1784108813.569362,0.0
308,1784108813.6727831,0.0
309,1784108813.7769177,0.0
310,1784108813.8828316,0.0
311,1784108813.990043,0.0
312,1784108814.0924535,0.0
313,1784108814.2020166,0.0
314,1784108814.3074856,0.0
315,1784108814.4142072,0.0
316,1784108814.5199,0.0
317,1784108814.6262932,0.0
318,1784108814.7320375,0.0
319,1784108814.8374982,0.0
320,1784108814.9464614,0.0
321,1784108815.054202,0.0
322,1784108815.162034,0.0
323,1784108815.268406,0.0
324,1784108815.3727171,0.0
325,1784108815.479514,0.0
326,1784108815.5861113,0.0
327,1784108815.6916008,0.0
328,1784108815.799848,0.0
329,1784108815.909113,0.0
330,1784108816.0180862,0.0
331,1784108816.1235266,0.0
332,1784108816.2292893,0.0
333,1784108816.333767,0.0
334,1784108816.4406466,0.0
335,1784108816.5463557,0.0
336,1784108816.6491487,0.0
337,1784108816.7580798,0.0
338,1784108816.8674269,0.0
339,1784108816.9768279,0.0
340,1784108817.0822546,0.0
341,1784108817.1863263,0.0
342,1784108817.2928345,0.0
343,1784108817.3998787,0.0
344,1784108817.506121,0.0
345,1784108817.617308,0.0
346,1784108817.727616,0.0
347,1784108817.8331015,0.0
348,1784108817.9413333,0.0
349,1784108818.0456254,0.0
350,1784108818.1511595,0.0
351,1784108818.2562594,0.0
352,1784108818.3646011,0.0
353,1784108818.470863,0.0
354,1784108818.583784,0.0
355,1784108818.6894603,0.0
356,1784108818.7954252,0.0
357,1784108818.8998425,0.0
358,1784108819.007564,0.0
359,1784108819.1130993,0.0
360,1784108819.218649,0.0
361,1784108819.3266544,0.0
362,1784108819.4339263,0.0
363,1784108819.5379117,0.0
364,1784108819.6410286,0.0
365,1784108819.744955,0.0
366,1784108819.8514621,0.0
367,1784108819.9540856,0.0
368,1784108820.0581965,0.0
369,1784108820.165952,0.0
370,1784108820.2711306,0.0
371,1784108820.3761082,0.0
372,1784108820.4813318,0.0
373,1784108820.5851998,0.0
374,1784108820.6916597,0.0
375,1784108820.7966213,0.0
376,1784108820.9017272,0.0
377,1784108821.0086274,0.0
378,1784108821.1137247,0.0
379,1784108821.2191277,0.0
380,1784108821.3265188,0.0
381,1784108821.429246,0.0
382,1784108821.537037,0.0
383,1784108821.6417162,0.0
384,1784108821.7452674,0.0
385,1784108821.849504,0.0
386,1784108821.9564953,0.0
387,1784108822.0647264,0.0
388,1784108822.1724837,0.0
389,1784108822.279201,0.0
390,1784108822.386246,0.0
391,1784108822.4909098,0.0
392,1784108822.594554,0.0
393,1784108822.7016556,0.0
394,1784108822.8069541,0.0
395,1784108822.916846,0.0
396,1784108823.0261953,0.0
397,1784108823.1310322,0.0
398,1784108823.2355337,0.0
399,1784108823.3367968,0.0
400,1784108823.4493573,0.0
401,1784108823.554456,0.0
402,1784108823.6609285,0.0
403,1784108823.7696912,0.0
404,1784108823.8755972,0.0
405,1784108823.9813576,0.0
406,1784108824.0883508,0.0
407,1784108824.1917043,0.0
408,1784108824.293643,0.0
409,1784108824.400268,0.0
410,1784108824.5086958,0.0
411,1784108824.6170185,0.0
412,1784108824.7258573,0.0
413,1784108824.830483,0.0
414,1784108824.9390733,0.0
415,1784108825.0434291,0.0
416,1784108825.1486385,0.0
417,1784108825.2546122,0.0
418,1784108825.360592,0.0
419,1784108825.4669785,0.0
420,1784108825.5736182,0.0
421,1784108825.6788483,0.0
422,1784108825.7842264,0.0
423,1784108825.8883865,0.0
424,1784108825.990699,0.0
425,1784108826.0971386,0.0
426,1784108826.206205,0.0
427,1784108826.3131661,0.0
428,1784108826.419667,0.0
429,1784108826.5236316,0.0
430,1784108826.6299303,0.0
431,1784108826.7339826,0.0
432,1784108826.8405323,0.0
433,1784108826.9569287,0.0
434,1784108827.068697,0.0
435,1784108827.1735055,0.0
436,1784108827.278162,0.0
437,1784108827.382411,0.0
438,1784108827.488376,0.0
439,1784108827.5951586,0.0
440,1784108827.6998622,0.0
441,1784108827.805543,0.0
442,1784108827.910867,0.0
443,1784108828.0164359,0.0
444,1784108828.122951,0.0
445,1784108828.228471,0.0
446,1784108828.3333337,0.0
447,1784108828.4500124,0.0
448,1784108828.5568917,0.0
449,1784108828.6637824,0.0
450,1784108828.7713006,0.0
451,1784108828.879536,0.0
452,1784108828.9834924,0.0
453,1784108829.0857859,0.0
454,1784108829.1914937,0.0
455,1784108829.2958868,0.0
456,1784108829.401197,0.0
457,1784108829.5086303,0.0
458,1784108829.6158102,0.0
459,1784108829.7217908,0.0
460,1784108829.8274882,0.0
461,1784108829.9329011,0.0
462,1784108830.0395067,0.0
463,1784108830.1437478,0.0
464,1784108830.2474356,0.0
465,1784108830.3526099,0.0
466,1784108830.4577026,0.0
467,1784108830.5644114,0.0
468,1784108830.669148,0.0
469,1784108830.7734745,0.0
470,1784108830.8795643,0.0
471,1784108830.9817123,0.0
472,1784108831.0843477,0.0
473,1784108831.1883676,0.0
474,1784108831.2950838,0.0
475,1784108831.4036844,0.0
476,1784108831.5093267,0.0
477,1784108831.6126032,0.0
478,1784108831.7199206,0.0
479,1784108831.8246026,0.0
480,1784108831.9291387,0.0
481,1784108832.0346751,0.0
482,1784108832.1448286,0.0
483,1784108832.2493882,0.0
484,1784108832.3535697,0.0
485,1784108832.4611928,0.0
486,1784108832.5672092,0.0
