step,wall_time,value
252,1784108807.743101,0.84375
253,1784108807.8490226,0.875
254,1784108807.9573283,1.0
255,1784108808.0615065,0.9375
256,1784108808.1668882,0.9375
257,1784108808.2738833,0.9375
258,1784108808.3830853,0.90625
259,1784108808.4880097,0.875
260,1784108808.593216,0.875
261,1784108808.6991801,0.875
262,1784108808.8054276,0.875
263,1784108808.9108624,0.875
264,1784108809.014783,0.84375
265,1784108809.1203449,0.9375
266,1784108809.2306175,1.0
267,1784108809.336092,0.875
268,1784108809.4410534,0.90625
269,1784108809.5479467,0.875
270,1784108809.6540158,0.90625
271,1784108809.7570822,0.9375
272,1784108809.8603036,0.8125
273,1784108809.9661999,0.96875
274,1784108810.0723948,0.875
275,1784108810.179428,0.875
276,1784108810.2845898,0.90625
277,1784108810.387464,0.90625
278,1784108810.4930356,0.9375
279,1784108810.5970545,1.0
280,1784108810.7004318,0.90625
281,1784108810.8054414,0.96875
282,1784108810.912447,0.90625
283,1784108811.0188057,0.875
284,1784108811.122787,0.84375
285,1784108811.2288132,0.84375
286,1784108811.3358576,0.90625
287,1784108811.439914,0.90625
288,1784108811.5434706,0.875
289,1784108811.6486065,0.875
290,1784108811.755852,0.90625
291,1784108811.8616695,0.96875
292,1784108811.9684157,0.9375
293,1784108812.075883,0.9375
294,1784108812.1816432,0.96875
295,1784108812.2854695,0.78125
296,1784108812.391578,0.78125
297,1784108812.4998968,0.96875
298,1784108812.6071827,0.84375
299,1784108812.7149196,0.875
300,1784108812.8224542,0.875
301,1784108812.9265425,0.8125
302,1784108813.0320754,0.875
303,1784108813.1389368,1.0
304,1784108813.2456133,1.0
305,1784108813.360243,0.84375
306,1784108813.4649036,0.84375
307,1784108813.569344,0.96875
308,1784108813.6727695,0.875
309,1784108813.7769036,0.84375
310,1784108813.8828173,0.90625
311,1784108813.99003,0.875
312,1784108814.092439,0.90625
313,1784108814.2020035,0.90625
314,1784108814.3074715,0.875
315,1784108814.414193,0.9375
316,1784108814.5198786,0.96875
317,1784108814.6262796,0.84375
318,1784108814.7320228,0.90625
319,1784108814.8374858,0.96875
320,1784108814.9464478,0.9375
321,1784108815.0541883,0.9375
322,1784108815.1620204,0.875
323,1784108815.268393,0.96875
324,1784108815.3727036,0.9375
325,1784108815.4794998,0.8125
326,1784108815.5860972,0.9375
327,1784108815.691588,0.96875
328,1784108815.7998347,0.96875
329,1784108815.909099,0.90625
330,1784108816.0180724,0.96875
331,1784108816.1235123,0.9375
332,1784108816.2292755,0.9375
333,1784108816.3337522,1.0
334,1784108816.4406335,0.9375
335,1784108816.546343,0.84375
336,1784108816.649132,0.8125
337,1784108816.758065,0.75
338,1784108816.8674107,0.90625
339,1784108816.976813,0.9375
340,1784108817.082241,0.8125
341,1784108817.186311,0.96875
342,1784108817.2928214,1.0
343,1784108817.39984,0.875
344,1784108817.506107,0.96875
345,1784108817.617294,0.84375
346,1784108817.7276013,0.96875
347,1784108817.833088,0.9375
348,1784108817.9413197,0.96875
349,1784108818.0456107,0.9375
350,1784108818.1511457,0.9375
351,1784108818.2562468,0.9375
352,1784108818.364587,0.96875
353,1784108818.4708493,0.875
354,1784108818.583772,0.9375
355,1784108818.6894457,0.96875
356,1784108818.7954113,0.90625
